iter	Passed	Remaining
251	4382	13007
252	4396	12982
253	4411	12955
254	4425	12929
255	4439	12902
256	4458	12889
257	4483	12893
258	4498	12870
259	4514	12848
260	4536	12843
261	4558	12840
262	4573	12815
263	4588	12791
264	4602	12765
265	4616	12738
266	4631	12716
267	4646	12690
268	4660	12663
269	4679	12652
270	4700	12644
271	4717	12625
272	4731	12599
273	4746	12576
274	4760	12551
275	4777	12531
276	4791	12505
277	4806	12482
278	4820	12456
279	4837	12438
280	4852	12416
281	4866	12391
282	4887	12382
283	4902	12358
284	4916	12333
285	4931	12312
286	4946	12287
287	4960	12262
288	4978	12249
289	5001	12245
290	5019	12228
291	5035	12210
292	5052	12191
293	5070	12175
294	5088	12159
295	5105	12142
296	5119	12118
297	5133	12093
298	5148	12071
299	5162	12046
300	5180	12029
301	5194	12006
302	5208	11981
303	5221	11955
304	5237	11935
305	5251	11910
306	5265	11885
307	5282	11868
308	5296	11844
309	5310	11821
310	5325	11799
311	5340	11775
312	5354	11752
313	5368	11728
314	5383	11705
315	5397	11682
316	5412	11661
317	5426	11637
318	5440	11614
319	5454	11591
320	5468	11566
321	5484	11548
322	5499	11527
323	5514	11505
324	5528	11483
325	5543	11460
326	5557	11436
327	5571	11415
328	5588	11397
329	5605	11380
330	5623	11365
331	5638	11344
332	5652	11322
333	5667	11300
334	5683	11282
335	5698	11260
336	5712	11239
337	5727	11217
338	5741	11196
339	5755	11173
340	5769	11150
341	5783	11128
342	5798	11106
343	5818	11095
344	5843	11094
345	5859	11075
346	5875	11055
347	5889	11035
348	5904	11013
349	5919	10993
350	5933	10970
351	5947	10948
352	5961	10926
353	5974	10903
354	5989	10882
355	6003	10860
356	6017	10838
357	6035	10822
358	6049	10801
359	6065	10783
360	6081	10765
361	6097	10746
362	6111	10724
363	6126	10704
364	6140	10682
365	6159	10668
366	6181	10661
367	6197	10642
368	6213	10624
369	6227	10604
370	6241	10582
371	6256	10561
372	6270	10540
373	6286	10522
374	6303	10505
375	6318	10485
376	6332	10463
377	6346	10442
378	6364	10427
379	6379	10408
380	6394	10388
381	6408	10367
382	6423	10348
383	6437	10327
384	6451	10305
385	6465	10284
386	6482	10268
387	6496	10247
388	6510	10225
389	6524	10204
390	6538	10183
391	6553	10164
392	6567	10143
393	6581	10122
394	6595	10102
395	6612	10085
396	6627	10066
397	6642	10046
398	6657	10027
399	6673	10009
400	6688	9990
401	6702	9970
402	6716	9949
